Kingdom,Phylum,Class,Order,Family,Genus,Species,Common Name,Model,Model Level,Sedentary,Max Depth (m),Min Depth (m),count
Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Myliobatis,Myliobatis tenuicaudatus,New Zealand Eagle Ray,Assets/SpecimenPrefabs/Myliobatidae.prefab,Family,FALSE,20.11684023,15,5
Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,Octopus,Unspecified,Assets/SpecimenPrefabs/Octopodidae.prefab,Family,FALSE,13.10642621,13.10642621,1
Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,Octopus briareus,Caribbean Reef Octopus,Assets/SpecimenPrefabs/Octopodidae.prefab,Family,FALSE,30.48006096,11.88722377,8
Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,Octopus hubbsorum,Hubbs' Octopus,Assets/SpecimenPrefabs/Octopodidae.prefab,Family,FALSE,14,14,1
Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,Octopus vulgaris,Common Octopus,Assets/SpecimenPrefabs/Octopodidae.prefab,Family,FALSE,17,17,1
Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Myrichthys,Myrichthys breviceps,Sharptail Eel,Assets/SpecimenPrefabs/Ophichthidae.prefab,Family,FALSE,35,11.88722377,9
Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Myrichthys,Myrichthys ocellatus,Goldspotted Eel,Assets/SpecimenPrefabs/Ophichthidae.prefab,Family,FALSE,14,14,1
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion polygonius,Honeycomb Cowfish,Assets/SpecimenPrefabs/Ostraciidae.prefab,Family,FALSE,36.57607315,8.2,16
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion quadricornis,Scrawled Cowfish,Assets/SpecimenPrefabs/Ostraciidae.prefab,Family,FALSE,28.95605791,14,9
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Lactophrys,Lactophrys,Unspecified,Assets/SpecimenPrefabs/Ostraciidae.prefab,Family,FALSE,8.077216154,8.077216154,1
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Lactophrys,Lactophrys bicaudalis,Spotted Trunkfish,Assets/SpecimenPrefabs/Ostraciidae.prefab,Family,FALSE,36.57607315,10,12
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Lactophrys,Lactophrys trigonus,Buffalo Trunkfish,Assets/SpecimenPrefabs/Ostraciidae.prefab,Family,FALSE,17.98323597,16,2
Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Palinurus,Palinurus elephas,European Spiny Lobster,Assets/SpecimenPrefabs/Palinuridae.prefab,Family,FALSE,25.2984506,6,10
Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,Panulirus argus,Caribbean Spiny Lobster,Assets/SpecimenPrefabs/Palinuridae.prefab,Family,FALSE,45,7,50
Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,Panulirus guttatus,Spotted Spiny Lobster,Assets/SpecimenPrefabs/Palinuridae.prefab,Family,FALSE,24.38404877,17,2
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Centropyge,Centropyge argi,Cherubfish,None,,,36.57607315,6.705613411,11
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Holacanthus,Holacanthus africanus,West African Angelfish,Assets/SpecimenPrefabs/Holacanthus.prefab,Genus,FALSE,3.048006096,3.048006096,1
