Kingdom,Phylum,Class,Order,Family,Genus,Species,Common Name,Model,Model Level,Sedentary,Max Depth (m),Min Depth (m),count
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Aluterus,Aluterus schoepfii,Orange Filefish,https://skfb.ly/o7wNF ,,,13.71602743,13.71602743,1
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Aluterus,Aluterus scriptus,Scrawled Filefish,https://skfb.ly/o7wNF ,,,33.26014732,11,7
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Echidna,Echidna catenata,Chain Moray,https://skfb.ly/6VIsR ,,,80,6.705613411,14
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax afer,Dark Moray,https://skfb.ly/6VIsR ,,,15,15,1
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax dovii,Speckled Moray,https://skfb.ly/6VIsR ,,,14.12,14.12,1
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax equatorialis,Spottail Moray,https://skfb.ly/6VIsR ,,,29.26085852,18.59283719,3
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax flavimarginatus,Yellowmargin Moray,https://skfb.ly/6VIsR ,,,33.52806706,21.03,4
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax funebris,Black Moray,https://skfb.ly/6VIsR ,,,31.39446279,8.5,28
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax fuscomaculatus,Brown Spotted Moray,https://skfb.ly/6VIsR ,,,18,18,1
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax isingteena,Spotted Moray,https://skfb.ly/6VIsR ,,,21,11,4
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax javanicus,Giant Moray,https://skfb.ly/6VIsR ,,,39.86,15.54,2
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax miliaris,Goldentail Moray,https://skfb.ly/6VIsR ,,,29.7,11,7
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax minor,Lesser Moray,https://skfb.ly/6VIsR ,,,20,20,1
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax moringa,Common Conger,https://skfb.ly/6VIsR ,,,30.48006096,6.705613411,22
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax pictus,Bar-cheeked Eel,https://skfb.ly/6VIsR ,,,19.77000762,16,2
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax polyuranodon,Freshwater Moray,https://skfb.ly/6VIsR ,,,30.48006096,30.48006096,2
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax prasinus,Brown Reef Eel,https://skfb.ly/6VIsR ,,,30.48006096,15,5
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax rueppellii,Ruppell's Moray,https://skfb.ly/6VIsR ,,,30.48006096,30.48006096,1
Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax vicinus,Brown Conger,https://skfb.ly/6VIsR ,,,6.705613411,6.705613411,1
Animalia,Cnidaria,Anthozoa,Scleractinia,Mussidae,Mussa,Mussa angulosa,Spiny Flower Coral,https://skfb.ly/oHRuA ,,,25,11,7
Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Aetobatus,Aetobatus narinari,Spotted Eagle Ray,https://skfb.ly/oRuTp ,,,66,2,22
Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Myliobatis,Myliobatis aquila,Common Eagle Ray,https://skfb.ly/oRuTp ,,,31,17.07,6
Animalia,Chordata,Elasmobranchii,Rajiformes,Myliobatidae,Myliobatis,Myliobatis tenuicaudatus,New Zealand Eagle Ray,https://skfb.ly/oRuTp ,,,20.11684023,15,5
Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,Octopus,Unspecified,https://skfb.ly/oNyPu ,,,13.10642621,13.10642621,1
Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,Octopus briareus,Caribbean Reef Octopus,https://skfb.ly/oNyPu ,,,30.48006096,11.88722377,8
Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,Octopus hubbsorum,Hubbs' Octopus,https://skfb.ly/oNyPu ,,,14,14,1
Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,Octopus vulgaris,Common Octopus,https://skfb.ly/oNyPu ,,,17,17,1
Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Myrichthys,Myrichthys breviceps,Sharptail Eel,https://skfb.ly/o9t8q ,,,35,11.88722377,9
Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Myrichthys,Myrichthys ocellatus,Goldspotted Eel,https://skfb.ly/o9t8q ,,,14,14,1
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion polygonius,Honeycomb Cowfish,https://skfb.ly/6TDNQ ,,,36.57607315,8.2,16
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion quadricornis,Scrawled Cowfish,https://skfb.ly/6TDNQ ,,,28.95605791,14,9
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Lactophrys,Lactophrys,Unspecified,https://skfb.ly/6TDNQ ,,,8.077216154,8.077216154,1
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Lactophrys,Lactophrys bicaudalis,Spotted Trunkfish,https://skfb.ly/6TDNQ ,,,36.57607315,10,12
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Lactophrys,Lactophrys trigonus,Buffalo Trunkfish,https://skfb.ly/6TDNQ ,,,17.98323597,16,2
Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Palinurus,Palinurus elephas,European Spiny Lobster,https://skfb.ly/6WRrI ,,,25.2984506,6,10
Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,Panulirus argus,Caribbean Spiny Lobster,https://skfb.ly/6WRrI ,,,45,7,50
Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,Panulirus guttatus,Spotted Spiny Lobster,https://skfb.ly/6WRrI ,,,24.38404877,17,2
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Centropyge,Centropyge argi,Cherubfish,None,,,36.57607315,6.705613411,11
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Holacanthus,Holacanthus africanus,West African Angelfish,https://skfb.ly/p9BA8 ,,,3.048006096,3.048006096,1
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Holacanthus,Holacanthus bermudensis,Bermuda Blue Angelfish,https://skfb.ly/p9BA9,,,24.68884938,20.42164084,2
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Holacanthus,Holacanthus ciliaris,Queen Angelfish,https://skfb.ly/p9BA10,,,36.57607315,6.705613411,34
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Holacanthus,Holacanthus isabelita,Blue Angelfish,https://skfb.ly/p9BA11,,,22.6,21.3,2
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Holacanthus,Holacanthus tricolor,Rock Beauty,https://skfb.ly/p9BA12,,,36.57607315,6.705613411,13
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Pomacanthus,Pomacanthus arcuatus,Gray Angelfish,https://skfb.ly/oKqSy ,,,21.06172212,6.705613411,11
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Pomacanthus,Pomacanthus imperator,Emperor Angelfish,https://skfb.ly/oKqSy ,,,26.51765304,15.24003048,14
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Pomacanthus,Pomacanthus paru,French Angelfish,https://skfb.ly/oKqSy ,,,32.46004572,6.705613411,18
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis,Sergeant Major,https://free3d.com/3d-model/yellowtai-damselfish-v2--744069.html,,,24.4,17.5,2
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf troschelii,Panamic Sergeant Major,https://free3d.com/3d-model/yellowtai-damselfish-v2--744069.html,,,15,15,1
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf vaigiensis,Indo-Pacific Sergeant Major,https://free3d.com/3d-model/yellowtai-damselfish-v2--744069.html,,,30.48006096,12,9
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis atrilobata,Scissortail Damselfish,https://free3d.com/3d-model/yellowtai-damselfish-v2--744069.html,,,10,10,1
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis cyanea,Blue Chromis,https://free3d.com/3d-model/yellowtai-damselfish-v2--744069.html,,,22.86004572,12,8
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis multilineata,Brown Chromis,https://free3d.com/3d-model/yellowtai-damselfish-v2--744069.html,,,12.49682499,3.048006096,3
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,Pomacentrus bankanensis,Speckled Damselfish,https://free3d.com/3d-model/yellowtai-damselfish-v2--744069.html,,,30.48006096,30.48006096,2
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,Pomacentrus brachialis,Bar-finned Damselfish,https://free3d.com/3d-model/yellowtai-damselfish-v2--744069.html,,,30.48006096,30.48006096,2
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,Pomacentrus coelestis,Neon Damselfish,https://free3d.com/3d-model/yellowtai-damselfish-v2--744069.html,,,16.2,16.2,1
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,Pomacentrus imitator,Imitator Damselfish,https://free3d.com/3d-model/yellowtai-damselfish-v2--744069.html,,,12.19202438,12.19202438,1
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,Pomacentrus simsiang,Lemon Damselfish,https://free3d.com/3d-model/yellowtai-damselfish-v2--744069.html,,,16.15443231,16.15443231,1
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Stegastes,Stegastes diencaeus,Honey Damselfish,https://free3d.com/3d-model/yellowtai-damselfish-v2--744069.html,,,12.4,8.2,4
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Stegastes,Stegastes partitus,Bicolor Damselfish,https://free3d.com/3d-model/yellowtai-damselfish-v2--744069.html,,,30,22.86004572,2
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Stegastes,Stegastes planifrons,Threespot Damselfish,https://free3d.com/3d-model/yellowtai-damselfish-v2--744069.html,,,16.15443231,16.15443231,1
Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Scarus,Scarus guacamaia,Rainbow Parrotfish,https://skfb.ly/owWuU,,,17,17,1
Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Scarus,Scarus psittacus,Common Parrotfish,https://skfb.ly/owWuU,,,22.93999492,4,5
Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Scarus,Scarus rubroviolaceus,Bicolor Parrotfish,https://skfb.ly/owWuU,,,30.48006096,1.79,3
Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Scarus,Scarus vetula,Queen Parrotfish,https://skfb.ly/owWuU,,,70,12,11
Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Sparisoma,Sparisoma amplum,Reef Parrotfish,https://skfb.ly/owWuU,,,11,11,1
Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Sparisoma,Sparisoma aurofrenatum,Redband Parrotfish,https://skfb.ly/owWuU,,,20,17.67843536,2
Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Sparisoma,Sparisoma chrysopterum,Blue Parrotfish,https://skfb.ly/owWuU,,,20,11,3
Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Sparisoma,Sparisoma viride,Dark Green Parrotfish,https://skfb.ly/owWuU,,,43.5,9.2,23
Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Equetus,Equetus lanceolatus,Jackknife Fish,https://skfb.ly/opyxq,,,45,8.84,4
Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Equetus,Equetus punctatus,Spotted Drum,https://skfb.ly/opyxq,,,36.57607315,9.2,17
Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Acanthocybium,Acanthocybium solandri,Wahoo,https://skfb.ly/6U8CM,,,26,15,8
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Pterois,Pterois,Unspecified,https://skfb.ly/orJVW,,,35.1,5.913131826,9
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Pterois,Pterois antennata,Banded Lionfish,https://skfb.ly/orJVW,,,17.98323597,11,2
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Pterois,Pterois volitans,Red Lionfish,https://skfb.ly/orJVW,,,100,6,75
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena,Scorpaena grandicornis,Grass Scorpionfish,https://skfb.ly/ovpEo,,,30.48006096,18.28803658,2
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena,Scorpaena inermis,Mushroom Scorpionfish,https://skfb.ly/ovpEo,,,17,17,1
